texto,calificacion,polaridad,tipo_lugar,fuente,fecha
"Esta es la mejor versión (hasta ahora) que verá y lo más fiel al trabajo de Bronte.Dalton es un poco difícil de imaginar como Rochester que Jane Eyre declaró ""no guapo"".Pero su actuación supera esto y Zelah Clark, bonita como ella, también es un completo y creíble Jane Eyre.Esta producción es un reloj largo, pero vale la pena.Casas citas directas del libro están en el script y si quiere el primer 'romance' verdadero en la literatura, esta es la forma de verla.Soy dueño de cada copia de esta película y he leído y vuelva a leer el original.La filmación puede parecer un poco anticuada ahora, pero nunca habrá otra como esta.",5,positivo,dataset_respaldo,kaggle_imdb,
"Aparentemente, las personas que escribieron la parte posterior de la caja no se molestan en ver a esta llamada ""película"".Describieron ""intriga y violencia coreografiada cegatemente"".No vi ""intriga"".En cambio, vi un intento miserable de diálogo en una supuesta película de Kung Fu.No vi la ""violencia"".Al menos, no vi nada, lo que pudiera hacerme suspender mi incredulidad en cuanto a lo que posiblemente podría lastimar a un hombre con la piel ""impermeable"", pero aquí quizás estoy revelando demasiado de la ""parcela"".Además, como espectador de muchas y severas películas (algunas de las cuales incluyen la película de kung fu ocasional), puedo decir con autoridad que esta pieza de celuloide no es despreocupada.Lo que sea que pueda elegir, siempre seguiré siendo correcto, Jonathan Tanner P.S.No estaba cegado por la coreografía.",1,negativo,dataset_respaldo,kaggle_imdb,
"Me gustó la actuación de Boyle, pero eso es lo único positivo que puedo decir. Todo estaba exagerado hasta el punto de absurdo. La mayoría de los actores hablaron como usted esperaría que su sobrino de 9 años de edad hable si estuviera pretendiendo ser un policía de buen corazón, o un villano ultra malvado. La voz ronca de voz parecía aficionada a mí. Podría ir a comprar un sintetizador barato y bajar mejor la música de apertura. ¿Y qué pasa con toda la tortura de la policía de 1984ish? Era totalmente superfluo y no tenía nada que ver con los eventos reales de la historia. Cox agregó muchas cosas, de hecho, que aparentemente pensó que sería realmente genial, pero no tenía nada que ver con la historia. Esa es una gran decepción porque una de las cosas que hace que las historias de Borges sea tan bueno es su minimalismo, están estrechamente atadas, sin detalles superfluos. Esta película es todo lo contrario. Dejé de observar después de la escena donde Lonnrot está cuestionando al chico del Yidische Zaitung, o por eso. Perdí $ 4 alquilar esto, pero al menos puedo obtener una satisfacción de escribir esta revisión y, con suerte, salvar a otros por cometer el mismo error.",1,negativo,dataset_respaldo,kaggle_imdb,
Es fantástico cuando una película divertida no te hace sonreírte.¡¡Qué pena!!Esta película es muy aburrida y larga.Es simplemente doloroso.La historia es asombrosa sin gol y no es divertido. Te sientes mejor cuando está terminado.,1,negativo,dataset_respaldo,kaggle_imdb,
"Tan bien hecho, no hay mierda CGI.¿Alguien más ha estado en el recorrido de ""Crocs de salto"" del río Adelaide de Darwin antes?El agua negra era de manera realista;Los pícaros eran un poco gritos. Pues, la chica rubia era excelente en ella, realmente no la he visto antes.Y la otra chica es un bebé, ella siempre es excelente.V. Suspenso: lo compararía con las mandíbulas sobre cualquier otro hombre comiendo un animal.Obtuvo el agujero ausie a la palmadita de Aussie sin ir a OTT con Struths y Crikeys, también.¡Me encantó!",5,positivo,dataset_respaldo,kaggle_imdb,
"La asignación es un thriller sobresaliente con varios giros de parcela impulsados ​​por carácter, en lugar de giros de estrellas, la necesidad de organizar efectos especiales, romance obligatorio y persecuciones infinitas de automóviles. Sin embargo, hay una persecución de un automóvil aquí, y un dandy es. Aidan Quinn es maravilloso, ya que tanto el terrorista como el oficial naval ""reclutaron"" para eliminarlo. Es raro que un segundo o tercer actor de nivel, como Quinn, se le otorgue un importante papel protagonista como este que lleva una película. Por lo general, tal función se otorga a un actor A-LIST con el sorteo de taquilla, que probablemente sea por eso que nunca he oído hablar de esta película antes de que lo vi. Donald Sutherland es genial como el agente más ambiguo, algo espeluznante, que recluta Quinn. Ben Kingsley está bien también como el agente israelí. La trama es muy compleja y hay múltiples líneas de historias, que convergen de manera gradual hacia el final, y no todas a la vez, ya que estamos acostumbrados a ver. La paranoia y la claustrofobia de estos thrillers se capturan y retratan con ambas ambigüedad moral y intensidad aterradora. Las ubicaciones son convincentes y efectivas. La banda sonora no es nada especial, pero rara vez obtenemos todas las cualidades mencionadas anteriormente en estos días, sin desarrollos de parcela sin sentido y / o sin sentido; giros de la estrella poco convincente; ruidosos, molestos, tipo de sonido de video de música; un villano que lo jala; y repetidamente un elenco, disfraces y un trazado que atiende principalmente a una audiencia de menos de 25. Este es un thriller sobresaliente, que más seguro no obtuvo su lanzamiento. *** 1/2 de 4 estrellas.",5,positivo,dataset_respaldo,kaggle_imdb,
"Esta es una de las mejores películas que he visto en mi vida ... El escenario Stark ... El aislamiento ... Las personas ignorantes fanáticas escondidas detrás de su religión ... un telón de fondo para un poco de atención y sofisticación ... la actuación escompletamente natural ... pero para mí como ""foodie"" lo mejor es la elección actual y la preparación de la fiesta ... he pasado tiempo en París y conoce bien la cocina ... Ya sea que el Cafe Anglais realmente exista.'T SABO, PERO SABO DE ESTADOS SIMILARES Y EL MENÚ DE BURABETT Y ELECCIÓN DE VINOS SON AUTENTICOS ... Y, por supuesto, el final, donde a pesar de ellos mismos, la comida perfecta, los mezcla de la amistad es el único final que podría haber ... esto es un10 de cada 10 película y debe ser visto por cualquier persona con suficiente cerebro y gusto para entenderlo",5,positivo,dataset_respaldo,kaggle_imdb,
"Ubicado en el 1794, el segundo año de la República Francesa formada después de la ejecución de Louis XVI, esta película retrata la lucha de poder entre los líderes revolucionarios Danton (Gerard Depardieu, en su mejor) y Robespierre (una actuación al mando por el actor polaco Wojciech. PSZONIAK). El moderado revolucionario Danton ha regresado a París de su asiento de país donde, desde entonces, fue depuesto como líder del Comité de Seguridad Pública en el año anterior por Robespierre. Se opone a ""el reinado del terror"", lo que ha resultado en las ejecuciones de miles de ciudadanos, principalmente por la guillotina, que se cree que se opone a la revolución. Danton tiene confianza en el apoyo de la gente común y trata de persuadir a Robespierre para frenar la sangre. Pero Robespierre y el Comité temen que la popularidad de Danton les llevará a los derrocados, y poner a Danton y sus partidarios en juicio por ser traidores. Esta fue la primera película de idiomas franceses hecha por Andrzej Wajda después de que había llegado a Francia desde Polonia. Su compañía de cine polaca fue cerrada por el gobierno debido a su apoyo a la sindicato de solidaridad, que se había opuesto al gobierno polaco a fines de los años setenta y principios de los años ochenta. Su película anterior ""Hombre de hierro"" (1981) había tratado con la Unión de Solidaridad y su líder Lech Walesa, y es fácil sacar comparaciones entre la relación de Walesa y el líder polaco General Jaruselski, y que entre Danton y Robespierre. Danton / Walesa es la voz de la razón opuesta a Robespierre / Jaruselski que continúe la regla dictatorial a pesar de haber perdido el apoyo de las personas que dicen representar. La película se basa en el juego polaco ""The Danton Affair"" escrito por Stanislawa Przybyszewska en la década de 1930, y en su lanzamiento, la película fue criticada por algunos por ser estática y teatral. Pero lo que hace la película es concentrarse en las reuniones detrás de las escenas de los comités y las escenas en la Asamblea Nacional y en la sala de audiencias en lugar de las actividades en las calles de París.",5,positivo,dataset_respaldo,kaggle_imdb,
"Por lo general, estoy un poco fanático de los increíbles de los años ochenta y las primeras noventa. La película que ofrece ahora tiene beta ... pero esta película es tan increíblemente terrible que fue una verdadera prueba de resistencia para sentarse.Los chicos se visten cuando las chicas se han hecho hasta la muerte, pero nunca tan patéticamente.El rendimiento de Corey Haim fue abismal como de costumbre, Nicole Eggert no era mucho mejor.Esto no tiene cualidades de redención, incluso si usted es un fan número 1 de un actor / actriz en esta pieza de basura, ¡manténgase alejado!",1,negativo,dataset_respaldo,kaggle_imdb,
"Ahora he visto algunas películas de Pedro Almodóvar, pero esto tendría que ser el más decepcionante hasta ahora.Esta película parecía carecer de la zanidad que suele ser en todas partes en sus películas, y la historia nunca me interesó.Muchos regulares de Almodóvar aparecen en esta película, por lo que no es como si hubiera una falta de talento en pantalla, pero esta película simplemente parecía más seria que sus otras películas.Si hubiera un borde cómico a esta película, ciertamente no pude encontrarlo, y se hizo para una película sorprendentemente débil.",1,negativo,dataset_respaldo,kaggle_imdb,
"Disfruté mucho la novela de Margaret Atwood 'The Robber Bride', y estaba encantada de ver que había una versión de película. Una mujer marca a un novio de policía para su propio asesinato, y su amigo, un ex periodista de la policía, trata de limpiar su nombre al revisar las locas amigas locas de la mujer muerta. Es afortunado que el script de la película corrige la trama torpe de la Sra. Atwood centrándose en la historia de estos dos hombres, las víctimas de las mujeres del esquema ... je. Está bien, me tienes. Si estos tipos se mencionan en el libro, y estoy bastante seguro de que están totalmente compensados ​​para la película, comeré la cubierta de polvo de mi copia dura. Aparentemente, los tres personajes femeninos principales de la novela no son suficientes para llevar la película. Las manipulaciones de Zenia no son interesantes a menos que los vemos que les sucedan a un hombre, y la vida de un hombre está jodida. Roz, Charis y Toni cuentan sus historias, a un hombre. Porque no es importante si un hombre no las oye. Me gustó los personajes del libro. Duele verlos empujados hacia un lado para la historia de un hombre. Normalmente no busco ángulos feministas en los medios de comunicación, y traté de disfrutar de la película como está. Si no hubiera leído el libro, podría haber disfrutado mucho más. Entonces, si te gusta el policía y el ex policía, y quieres leer más sobre ellos, estás fuera de la suerte. Lea la novela, si desea disfrutar de la deliciosa prosa y la caracterización en capas sutiles a través de una parcela. Es la misma parcela: la película la excavó, la planchó y la roció con angustia masculina. Es como la venganza de Zenia en Margaret Atwood.",1,negativo,dataset_respaldo,kaggle_imdb,
"Esta película obtiene un 10 porque hay una gran cantidad de Gore. Quien se preocupa por la parcela o la actuación. Esta es una gente de cine de horror italiano para que sepa que no puede esperar mucho de la actuación o la trama. Todo el mundo conoce a FulciTomó imágenes de otras películas y se lo agregó a este, ya que nunca he visto ninguna de las películas de las que tomó las imágenes, no me importó. El padrino italiano de Gore Out se hizo con esta película. Este es uno de losPelículas italianas más goledes que jamás verás. No se debe tener una caza de Gore sin esta película en su colección de películas de terror. Esta película no importa lo que sea un sueño de Horehounds.",5,positivo,dataset_respaldo,kaggle_imdb,
"Ingrid Bergman, jugando al dentista, la recepcionista fiel de Matthau, que alberga un poco a su jefe, es absolutamente maravilloso en esta película.Ella maneja el ingenioso reparador en el guión con Aplomb y roba una escena excelente donde ella y Goldie Hawn hablan en una cabina discográfica (el monólogo de Ingrid es un frente, pero su rostro le dice que cree en él con todo su corazón).Matthau es una opción extraña para el hombre líder (es demasiado viejo para Goldie Hawn y demasiado sin refinar para Bergman, por no mencionar demasiado para ser un dentista), pero me gustó la forma en que intenta con dificultad para complacer a Goldie y tropieza tratando de liberarél mismo de una mentira.Hawn (que ganó un Oscar de apoyo) es tan fresco y burbujeante como ella es hoy.Esta habitación Farce no es terriblemente sofisticada (y le recuerda débilmente uno de ""cualquier miércoles"" además), pero es un alivio bienvenido de las comedias ruidosas y orientadas al adolescente que salen hoy.""Cactus Flower"" es un hermoso suspiro!*** de ****",5,positivo,dataset_respaldo,kaggle_imdb,
"""Un director de televisión aburrido se presenta a las artes negras y la proyección astral por su novia. Aprendiendo la capacidad de separar su espíritu de su cuerpo, el hombre encuentra un interés renovado en su vida y un sentido de bienestar. Desafortunadamente, el hombre descubre mientras Él está durmiendo, su espíritu deja su cuerpo y su cuerpo incontrolado deambula por las calles en un alboroto asesino, ""de acuerdo con la sinopsis de la funda de DVD. La sinopsis no es del todo correcta, por lo que resulta. En su lugar, la película se abre con una vertiginosa. ""Fuera de cuerpo"", ejemplo del director guapo Winston Rekert (como la experiencia del cuerpo astral ""de Paul Sharpe); También presagia una próxima pelea de perros. Joven andrew Bednarski (como Matthew Sharpe), siendo un niño, dibuja fotos de ""The Blue Man"", como comienza su juerga de asesinato. Hermoso detective John Novak (como Stewart Kaufman) descubre que las víctimas están conectadas al Sr. Rekert. La investigación del Sr. Novak lleva a lo sobrenatural; Un excelente ejemplo de lo que es Karen Black (como Janus), con quien rekert teme que se está enamorando. Evierte en el reparto. Pero, ""el hombre azul"" se vincula atándose en un nudo. Aka ""Eternal Evil"", su historia insatisfactoria trata de ser demasiado inteligente por su propio bien.",1,negativo,dataset_respaldo,kaggle_imdb,
"Ah, sí, la década de 1980, una época de reajanómica y astuto, Chuck y una gran cantidad de otras estrellas de acción que se esconden en una selva remota que sopla los comidas.En el momento en que no pude creer cómo las películas como RAMBO, Faltan en acción y valor incondicional (¿y quién puede olvidar el ridículo amanecer rojo?) Hizo dinero en la taquilla, son festivales de la mierda de acción turgínea con un derecho de apagado.Agenda de ala y han fechado muy mal.La guerra de Troma es una lengua en la mejilla, asume este tipo de películas, pero tiene que preguntarse, ¿necesitaban una falsificación en el primer lugar?Por supuesto que no .La guerra de Troma carece de cualquier tipo de sofisticación, aunque hace el punto de que no hay una diferencia real entre los tiranos de derecha y los de izquierda, y a veces se siente más como una película de grado Z que un envío.Tal vez es?",1,negativo,dataset_respaldo,kaggle_imdb,
"Este cuento basado en dos piezas de Poe de Edgar Allen (""La caída de la casa de la casa"", ""Danza de la muerte"" (poema)) es en realidad bastante espeluznante de principio a fin.Es similar a algunas de las antiguas películas en blanco y negro sobre las personas que se encuentran en una antigua casa decrépita (por ejemplo, ""el gato y el canario"", ""la vieja casa oscura"", ""noche de terror"", etc.).Boris Karloff juega un inventor de muñecas de tamaño natural que aterroriza a los invitados.Muere temprano en la película (¿o él?) Y los residentes de la casa están sujetos a una serie de experiencias aterradoras.No voy a entrar demasiado detalle aquí, pero definitivamente es una visita obligada para los fanáticos de los viejos misterios de la Casa Oscura. Es una gran cantidad de palomitas de maíz y refrescos en una habitación oscura.Dan Basinger 8/10",5,positivo,dataset_respaldo,kaggle_imdb,
"¡Estoy tan feliz y sorprendido de que haya tantos intereses en esta película!Jack Frost fue mi introducción en las películas producidas y distribuidas por A-Pix Entertainment, y sin excepción, ¡todo lo que se ocupa de esta compañía es una mierda pura!Primero, y esto es muy importante, ¡nunca ve a esta película sobrio!¿Por que lo harias?A diferencia de muchas otras películas enteradas, esta que siento, se hizo intencionalmente mala.Simplemente no puedo superar lo falso que está el muñeco de nieve, por lo que siempre se muestra brevemente, ¡la forma en que se mueve es la mejor!Esta película es Waaaaaaaaaaaay mejor que la pieza de Michael Keaton, Becuz, que también fue una buena película, y esa versión es tan mala como esta.",1,negativo,dataset_respaldo,kaggle_imdb,
"""La revuelta de los zombies"" prueba que tener la misma directora renovar y reciclar una idea no necesariamente dificulta el rayo dos veces. Los Halperin Brothers, responsables del clásico de horror ""Zombie White"", hicieron este triple pieza de basura a unos pocos años. Más tarde, en efectivo de su popularidad e incluso reciclados los primeros primeros de los ojos de Lugosi de esa película anterior. Hubo una batalla de la corte con los propietarios de derechos de la película ""Blanco Zombie"", que no querían que los Halperins pudieran usar la palabra ""zombie"" en este título. Esa palabra era lo único que podría ayudar a esta película, porque, como todos saben, las películas malas pueden ganar mucho más dinero simplemente haciendo que la palabra ""Zombie"" aparezca en el título. Sabiendo lo que Victor Halperin fue capaz de unos años antes, solo hace que esta película no interesante sea más insultante. Parece que nunca dirigió otra película de terror después de esta debacle. Los zombies aquí parecen ser verdaderos caminando muertos, sino simplemente víctimas de hipnotismo. ¿Janna la creación de un ejército de zombies controlado por la mente? Esté preparado para romper unos huevos, incluido el suyo. La parcela coja: el hombre se enamora de la mujer del esquema que juega con su corazón y se compromete con él solo para hacer a su amigo, a quien ama, celosa. Esto le envía a un hombre a una espiral de locura en la que intenta usar las técnicas de control de la mente zombie para cambiar las cosas a su ventaja en un intento de ganar a una mujer que no vale la pena escupir. Esto incluye uno de los desarrollos de la trama más evidente. He visto nunca. Tendrías que ser ciego o estúpido para no ver la finalización. La actuación no es ni siquiera es buena. Esta película hace que el ""rey de los zombies"" racialmente insensible (que apareció en el mismo Doble Bill DVD que compré) parece una obra maestra de terror atmosférica en comparación y nos recuerda que no todas las películas en blanco y negro son un clásico. Hace que los ""invasores invisibles"" de Sci-Fi Atomic Sci-Fi Alien Zombie. Esta es una gran bola de queso tan ridículamente melodramática, probablemente podría hacer que muchos de los fanáticos de la película coreana (películas de Corea del Sur a menudo se conocen por su uso de Melodrama). Los créditos enumeran las películas favoritas de la compañía con nombre irónicamente. No estoy seguro de quién sería una película favorita, pero obviamente son un idiota. No se recomienda para los fanáticos de: zombies, romance o películas clásicas.",1,negativo,dataset_respaldo,kaggle_imdb,
"Las quejas son válidas, para mí, el mayor problema es que esta telenovela está demasiado dirigida a las mujeres.Estoy bien con estos jabones nocturnos, como la anatomía de Gray, o fea Betty, o West Wing, porque hay historias interesantes incluso con las que nunca terminarán.Sin embargo, cuando la idea paralela a los jabones diurnos dirigidos a simplemente poner hombres hunky (Taye Diggs, Tim Daly y Chris Lowell) en la tensión sexual y los juguetes, y numerosas situaciones difíciles ridículas en un pequeño hospital, parece un hospital general.... o una contraparte femenina a Baywatch.Eso fue lo que los hombres quería y lo tenían, así que si esto es lo que las mujeres quieren, así que es así, pero la idea de que este es un alto espectáculo de cejas (o algo que los hombres verán) no es realista.",1,negativo,dataset_respaldo,kaggle_imdb,
"Esta película fue una de las mejores películas que he visto este año. No vi ningún campeón en la película, pero sigue siendo bastante bueno. Es similar al Anchorman en el departamento de humor, pero creo que esta es una película mejor presentada. En realidad tiene un punto. Si vas a ver un montón de T & A, te decepcionará. Sólo una película bien presentada !!!! Si no tienes nada que hacer por el día o necesitas mucho humor, encontrarás que esta es una película realmente buena. Definitivamente creo que la revisión de Ebert y Roeper de esta película está justo. Quiero decir, realmente no me gusta Ebert en la mayoría de las películas, pero esta es la película de la que estaré de acuerdo. La película contiene una buena historia que es realmente creíble que este tipo de personas estén ahí fuera. Definitivamente, hay algo que decir sobre cómo tratan la virginidad en esta película. Sí, claro, te eches a reír cuando se descubre, pero todavía sugiere que espere. Steve hizo un trabajo maravilloso de retratar a la persona que hizo en esta película y, sin embargo, todavía es divertida.",5,positivo,dataset_respaldo,kaggle_imdb,
"Recuerdo que ver esta película a mediados de los años 80 lo pensó en una pieza bien ritmo y bien actuada.Ahora trabajo con bastante frecuencia en la Plaza de Berkeley y la tenía que obtener una copia de DVD para recordarme a mí mismo lo poco que ha cambiado el área, aunque mi oficina es nueva, a solo 30 segundos de ""The Bank"".Incluso Jack Barclays: concesionario de automóviles todavía está vendiendo bentleys y rolls Royces. Se parece a que el DVD se entregará pronto.La copia de la Región 1 I es de muy mala calidad.Esperemos que lo hayan limpiado. Solo la secuencia de escape ligeramente poco fiable de la cancha estropea lo que de otra manera sería una gran película, pero supongo que está en línea con la etiqueta de la alcaparra.",5,positivo,dataset_respaldo,kaggle_imdb,
"Hace dos horas, estaba observando esta brillante película que me abrumó con su fotografía de encarcelamiento. Es bastante comprensible cómo ganó el premio de la mejor cámara en Cannes 2000. Los primeros planos lo predominaron. Close ups de paredes, humanos y de muchas otras cosas. La iluminación de colores cálidos (que también suele ser por el director) le dio a la película un ambiente cálido. Solo dos personas se ve principalmente en la mayor parte de ella. Una música interesante y especialmente tres canciones o temas acompañaron la película casi todo el tiempo. Cada uno de estos temas representa un cierto ambiente durante toda la película. El silencio y los movimientos lentos caracterizan la película. Algunas escenas fueron momentos extendidos o un grave de primeros planos. No solo Tony Leung merece un premio por su excelente actuación desde que Maggie Cheung también fue tan brillante. Me pregunto cuántos vestidos llevaban en las diferentes escenas. La historia también se conectó de alguna manera con la historia de Hong Kong y la región la década de 1960. Esto me impidió comprender algunos detalles de lo especialmente al final. En resumen, recomendaría los fanáticos de las películas artísticas para verlo en el cine.",5,positivo,dataset_respaldo,kaggle_imdb,
"Afortunadamente para Bill Murray, este es un proyecto tan ligero, ya que casi tiene que llevarlo. Las albóndigas son la historia del campamento de bajos alquileres Northstar y cómo sus consejeros tratan con los campistas, así como los demás. Luego, está muy hecho de sus ricos rivales de todo el lago llamado Camp Mohawk, que culmina en una competición olimpiada de dos días. Por encima de todo, todo es Bill Murray payasando y haciendo un recubrimiento de película bastante memorable. La película está espolvoreada con risas de tamaño mediano, risitas y más de unos pocos chafflaws en el camino. Las risas más grandes provienen de las bromas jugadas en el director de Nerdy Camp. Tres de ellos involucran a los consejeros moviendo su cama afuera en varios lugares mientras él está durmiendo. Morty, o ""Micky"", ya que todos lo llama, se despierten a lo largo de un camino, ensartando en algunos árboles varios pies sobre el suelo, ¡y finalmente flotando en una balsa en el centro del lago! También hay algunos momentos divertidos que involucran a los consejeros que se golpean unos con otros, pero esta es una película calificada por PG con poco en el camino de la cena. La película toma una nota seria que involucra a un timbre tímido llamado Rudy, que es interpretado por Chris Makpeace. Por supuesto, depende de Murray que le enseñe al niño a abrirse y darle la confianza que necesita para dirigir una maratón durante la Olimpiada. El sentimentalismo de la situación de Rudy parece atribuida a un gran grado. Observe cómo cuando Murray primero ve al niño sentado solo en la hierba después de salir del autobús, le dice: ""Debe ser el niño corto deprimido que pedimos"". Te hace preguntarte si esa línea estaba realmente en el guión o Murray estaba simplemente de liberación de anuncios mientras las cámaras estaban rodando. En otras palabras, Murray también podría haber dicho a MakePeace: ""Debe ser ese actor que contratamos para jugar al niño solitario estereotípico que ves en la mayoría de las películas de campamento de verano que no encaja"". Pero antes de que termine, el rendimiento de Murray hace que este dispositivo de trazado sea más que soportable. Él realmente parece tener una buena química con MakePeace. La película culmina con los juegos entre los dos campamentos rivales. Muy poco de los eventos que se nos muestran son incluso ligeramente creíbles, pero ""simplemente no importa"". Esta es una película bastante buena en muchos niveles. No dejes que la calificación absurda 5.6 esta película se está asustando actualmente. Murray te mantendrá riendo en todo. Acabo de ser advertido ..... ¡Evita las secuelas !!!! Especialmente el de Corey Feldman !! 8 de 10 estrellas. El perro.",5,positivo,dataset_respaldo,kaggle_imdb,
"""El Danés Bladerunner"" está declarado audazmente en la caja.¡¿Me estás tomando el pelo?!Esta película es un arrastre completo.Cuando tengo sed y voy por un refresco en la cocina, generalmente me detiene la VCR, así que no extrañaré nada.No esta vez.De hecho, me encontré pareciendo largo y duro en la nevera, así que no tendría que volver.¿Por qué demonios no hay un guionista de ciencia de la ciencia que tenga la pista más vaga sobre cómo funcionan las computadoras?Es MindBoggling.Uno de los locales de la película, es que nuestro héroe (que es un pirata informático), tiene un pequeño cojemandante para ayudarlo (la CLIP de Microsoft Office finalmente se detuvo en el futuro).Cuando pierde el asistente en la película, está indefenso y no puede entrar en computadoras.¡Es un hacker!Es como decir, que no puedes conducir tu auto, si no tienes tu afortunado ""conducir-gorra"".Ni siquiera voy a entrar en el efecto del rayo cuando reciba el electroshock ...",1,negativo,dataset_respaldo,kaggle_imdb,
"Esta película muestra un clip de la mutilación animal en vivo de un animal que se hacía hackeado por un machete y se estafó la piel.Sé que estas horribles cosas suceden en el mundo, pero estoy viendo películas basadas en el hecho de que lo que estoy viendo no está sucediendo en la pantalla.Estos clips de animales en vivo no están destinados a estar en películas, están destinados a mostrar a las personas que pertenecen a ciertas organizaciones para ayudar a las cosas horribles que humanos para hacer otras especies. Esto debería ser prohibido y destruido.¡También me contacté con Netflix y otros recursos para colaborar en el mercado de esta película! Esta película debe ser eliminada del público.La persona que hizo de esta película necesita ayuda psicológica.",1,negativo,dataset_respaldo,kaggle_imdb,
"Cualquiera que piense que Kool Moe Dee, Carol Alt, y Corey Feldman comprenden una lista de buenos actores, debe estar fumando algo que me encantaría probar en algún momento. Donde comenzar: pésima banda sonora, Hammy actuando, ""Acción"" en lugares. Este es el típico forraje de pirateo aficionado que se ha convertido en el amor y nunca fue el amor de la estrella. En realidad me sentí avergonzado por las ""estrellas"" en esta ""película"". El único Thespian desapareció en la cima de este turd fue Gary Coleman, quien, si hubiera estado en la película, lo hubiera hecho, al menos algo tan guapo, en lugar de simplemente una simple. Había una parte en la película donde gritó Carol Alt, ""¿Crees que soy un idiota?!"" Sí, Carol, lo hago, su agente lo hace, y por favor por el amor de todo lo que es decente y santo ... ¡Vete y deja de degradarse así! Esta película es algo que Anna Nicole Smith participaría. Le diría lo que era la trama, pero eso sería un fragmento de frase más a este artículo, además de que mi mente se desvió muchas veces durante la película, así que apenas presté atención.",1,negativo,dataset_respaldo,kaggle_imdb,
"Esta película podría haber sido una re-realización decente, y Gosh sabe que lo intentó (o la Sra. Inglés lo intentó). El montaje de actores talentosos, junto con un escritor / director exitoso y experimentado, debe ser una fórmula para una película decente. Pero la experiencia de la Sra. Inflish, según su IMDb Bio, se limita exclusivamente al trabajo televisivo, y es muy obvio en toda esta película. Me sorprende que ninguna de las críticas que haya leído mencionar lo que más fue poco probable en esta película, y Lo que le impidió alcanzar incluso una parte de su potencial: se veía y se sentía como si estuviera hecha para la televisión. Para dar un poco de crédito a la Sra. Inglés, muchos de los chistes que simplemente no trabajaron en una pantalla de cine hubieran sido excelentes en la televisión (y tal vez una pista de risa habría ayudado). Mucho del uso de la cámara y la iluminación habrían jugado bien en la televisión, pero se veía incómodo o extraño en una pantalla grande. Si toda la película había sido cortada en una mini serie o en una situación, creo que podría haber funcionado. Pero esto es el cine y, lamentablemente, los talentos de la Sra. English no se tradujeron. ¡Me encogí en tantos puntos diferentes en mi vergüenza para los actores y los escritores que sentí que salí del teatro medio arrugado! Meg Ryan es su habitual alegre, lindo mismo (a excepción de la terrible cirugía plástica que ha tenido en su rostro), pero ¿a dónde tuvo la oportunidad de usar su talento? Ella ha hecho películas donde no recrea su papel de escritura estéreo y les hizo bien ... pero no aquí. Annette Bening pareció simplemente pasar por los movimientos, ¡un gran talento y, sin embargo, un rendimiento tan pobre! Disfruté de los otros personajes de las mujeres, pero eran más caricaturas que la sustancia, y estaba triste ver. Lo que funcionó en esta película en la década de 1930 no se traduce a la década de 2000, y nadie ayudó a la Sra. English obtener los cambios y actualizaciones o sutilezas a la derecha. Si solo ella (como escritora, directora y productora) había tenido alguna ayuda, creo que podría haber sido bueno. Pero no lo fue. ¡Es tan frustrante ir a una película que tiene buenas estrellas y un buen escritor o director, y venir sintiendo que fue un desperdicio de tiempo y dinero de todos! Esta caricatura de Nueva York que vi ayer es apropiada: algunos ejecutivos de películas están teniendo una reunión y el título lee: ""¡Vamos a rehacer un clásico con peor todo!""",1,negativo,dataset_respaldo,kaggle_imdb,
"Me parece muy intrigante que Lee Radziwill, la hermana de Jackie Kennedy y el primo de estas mujeres, alentarían a los Maysles 'a hacer ""Big Edie"" y ""Little Edie"" el tema de una película.Ciertamente, podrían considerarse los ""esqueletos"" en el armario de la familia.Las características adicionales en el DVD incluyen varios diseñadores de moda contemporáneos que acreditan algunas de sus ideas a estas mujeres extrañas.Yo diría que cualquier persona interesada en la moda encontraría la discusión de estos diseñadores fascinantes.(es decir, """" ¿Están frutos secos? O estoy perdiendo algo? "").Esta película es difícil de conseguir.Netflix no lo tiene.Sin embargo, las facetas lo hacen.",5,positivo,dataset_respaldo,kaggle_imdb,
"C'Mon Chicos Algunos críticos anteriores casi han escrito una novela comentando en este episodio. ¡Es solo un viejo programa de televisión de los años 60! Este episodio de Star Trek es notable debido a la nena más seria (Yeoman Barrow) siempre utilizada en Star Trek y el hecho de que se filmó en una ubicación real al aire libre. A diferencia de la serie TNG y Voyager, que se limitaban totalmente a las etapas de sonido. Este uso de una ubicación al aire libre (y nena) proporciona una profundidad adecuada y una película casi como la calidad a un episodio bastante ordinario de este show ahora fechado y muy familiar. Excepto algunos Notables excepciones, es decir, ""la ciudad en el borde de siempre"", ""TEMA DE ASIGNACIÓN"" Y ""Mañana es ayer"", la antigua serie de Star Trek debe estar seriamente balizada y apagada de su miseria aburrida. La media docena de buenos episodios de 79 es un promedio de bateo más deficiente. Esto es típico de las cosas aburridas Gene Roddenberry producido en parte, en realidad, en contra de la creencia popular donde algunas personas adoraban al suelo, ¡en realidad hizo una gran cantidad de basura! Él no merece ser hablado de la misma respiración que Irwin Allen, por ejemplo, mira el conjunto del Puente de la Empresa desde un punto de vista moderno. Usaron madera contrachapada tambaleante para el piso, sillas de cafetería con respaldos de plástico y cartón barato sobre los paneles de instrumentos. ¡Puedes ver claramente los pliegues en el papel! ¡Cada gasto se salvó o qué!",1,negativo,dataset_respaldo,kaggle_imdb,
